,subject,sentence,output
33,Iraq," Well, part of also what`s so breathtaking here is that this is an assassination it appears of am official state guest of Iraq.",NEGATIVE
34,Iraq,So Iraq has a chronic and serious militia problem that Iraq is going to have to deal with.,NEGATIVE
35,Iraq,"Now, when you have Iranian- backed Iraqi militias attacking Americans and launching rockets that kill Americans, one can make an argument that this is a form of self-defense may or preemption.",NEGATIVE
36,Iraq,"I think inside Iraq, it`s going to be a much more complicated situation.",NEUTRAL
37,Iraq,This is going to be a problem that`s going to bedevil Iraq for a long time to come with or without Qassim Suleimani.,NEGATIVE
38,Iran,There have been protests in Iran that have been met with incredibly intense force.,NEGATIVE
39,Iran,Various Iranian news outlets are also reporting that what we have not heard from yet is anything official from the Iranian government or indeed the American government.,NEUTRAL
40,Iran,"Cal, what do we know here?television is reporting that the senior Iranian Commander Qassim Suleimani has been killed in what they are saying as either a rocket attack or an American drone attack.",NEUTRAL
41,Iran," No, I think inside Iran, you can expect a big rally around the flag effect for Qassim Suleimani.",NEUTRAL
42,Iran,"Tensions between America and Iran since Trump had walked out of the Iran deal had been kind of at a slow boil, caught in between a war that neither side really wanted and a peace that they couldn`t quite consummate.",NEUTRAL
43,Trump," One detail from the New York Times huge, very detailed story about this that came out earlier this week that I think people shouldn`t overlook is they reported that Mick Mulvaney used to leave the Oval Office when it was just Trump and Rudy Giuliani and they were talking about Ukraine.",NEUTRAL
44,Trump,Perhaps the most damning evidence about President Trump`s coordination of the freeze came at the end of August.,NEGATIVE
45,Trump," Joining us now for more on the case against President Trump are Jennifer Rubin, Opinion Writer of The Washington Post and Betsy Woodruff Swan, Political Reporter for The Daily Beast, both are MSNBC  Contributors.",NEUTRAL
46,Trump,"I mean, some of President Trump`s own advisers, I`m sure told him that if you left this deal, you would risk having folks get killed in Iraq and risk having America thrown out of Iraq, it may yet happen.",NEGATIVE
47,Trump,"After meeting between Secretary of State Mike Pompeo, Secretary of Defense Mark Esper, and President Trump, that meeting that we just learned about last week, the political appointee coordinating the aid for ONB told the DOD Comptroller ""Clear direction with the President of the United States to hold.""",NEUTRAL
48,Trump,"Now, after they`ve been caught, Trump and his allies have been trying this audacious line of defense, everything is fine, nothing you see here, the Ukraine call is perfect.",NEGATIVE
49,Trump,And it shows how much our folks are increasingly paying attention and how motivated they are to take on Trump.,NEGATIVE
50,Trump,President Trump says to hold the aid.,NEUTRAL
51,C.I.A.,"The C.I.A.`s Enhanced Interrogation Techniques, the torture was ineffective.",NEGATIVE
52,C.I.A.,But they did recommend to the C.I.A. that at least two C.I.A. professionals be held accountable for those actions.,NEGATIVE
53,C.I.A.,Should they be held on a foreign U.S. military base?And eventually what the C.I.A. concluded up until March was that this was not a job for the C.I.A. and the CIA had zero expertise in detaining people.,NEGATIVE
54,C.I.A.,"Second, the C.I.A. misled repeatedly over a number of years the Department of Justice, Congress and in fact the White House; and then finally, a major conclusion was that the program was grossly mismanaged by the C.I.A.There was virtually no accountability for wrongdoing over the years the program was active.",NEGATIVE
55,C.I.A.,"Despite obstruction and opposition from both the C.I.A. and many Republicans, a detailed executive summary of the report was released back in 2014.",NEGATIVE
56,Congress,"So Congress had to step in and reaffirm the constitutional imperative that indeed Congress has the power of the purse, and then appropriations be spent as intended.",NEUTRAL
57,Congress,They are still stopping Congress and the American public from reading other documents and from hearing other witnesses.,NEGATIVE
58,Congress," And Betsy, on the note of more information, you reported about Lev Parnas, of course, the indicted associated Rudy Giuliani who is apparently volunteering his iPhone to Congress.",NEUTRAL
59,Congress,"They are willfully now engaged in the cover-up, they need to come forward, or Congress needs to pursue them.",NEGATIVE
60,Congress,"We really need to get Congress engaged right now in aggressive oversight and that oversight is often enabled by whistleblowers, people within the government who see wrongdoing, and they have the courage to come forward.",NEUTRAL
61,Congress,"Second, the C.I.A. misled repeatedly over a number of years the Department of Justice, Congress and in fact the White House; and then finally, a major conclusion was that the program was grossly mismanaged by the C.I.A.There was virtually no accountability for wrongdoing over the years the program was active.",NEGATIVE
62,Congress,"They`re asking the judge to change that court or so that Congress can receive an iPhone 11 that Parnas was using and the window of time he was interacting with Giuliani, as well as a pile of documents that DOJ seized from Parnas` home.",NEUTRAL
63,Congress,They did not tell Congress.,NEGATIVE
64,Senate,So now it goes to a trial in the Senate.,NEUTRAL
65,Senate,"And so, for the last several weeks, what we`ve had to do is to focus national attention on the fact that the Senate was prepared not to do its job.",NEGATIVE
66,Donald Trump,"And what my understanding now is that Donald Trump could take an ad out saying that Joe Biden murdered this person and that would be fine and they would run the ad, is that correct?",NEGATIVE
67,Donald Trump, Donald Trump gets his trial date.,NEUTRAL
68,Donald Trump,"All the evidence that the 17 witnesses sworn under oath tell the truth brought us pointed to the guilt of one man, President Donald Trump for committing an abuse of power by trying to drag a foreign government into our election in order to sabotage his opponent, and then blockading a whole series of witnesses and refusing to turn over a single subpoenaed documents.",NEGATIVE
69,Donald Trump," Tonight, what we know about the looming trial of Donald Trump and new reporting that the President`s escalation with Iran was connected to his impeachment fears.",NEUTRAL
70,Donald Trump,Donald Trump.,NEUTRAL
71,Donald Trump,So one thing that is definitively established whether or not this is the situation now is that it is the case that Donald Trump thought that one way an American president could turn things around politically would be to start a war with Iran.,NEGATIVE
72,Donald Trump," OK, now, to be fair, 100 percent fair, Donald Trump had a lot of tapes floating around before he got into the White House.(BEGIN VIDEO CLIP)",NEUTRAL
73,Trump,"""Now, the subtext of this entire memo being that the president, President Trump, and his notorious penchant for constant falsehoods, and the executive who author the memo, discusses the social giant`s political ad policy saying it occurs to me it very may well lead to the same result as in 2016, meaning Trump gets elected.",NEGATIVE
74,Trump," Tonight, what we know about the looming trial of Donald Trump and new reporting that the President`s escalation with Iran was connected to his impeachment fears.",NEGATIVE
75,Trump,"And what my understanding now is that Donald Trump could take an ad out saying that Joe Biden murdered this person and that would be fine and they would run the ad, is that correct?",NEGATIVE
76,Trump," OK, now, to be fair, 100 percent fair, Donald Trump had a lot of tapes floating around before he got into the White House.(BEGIN VIDEO CLIP)",NEUTRAL
77,Trump,"So now, here we are two more decades -- two or more decades later, President Trump is impeached for abuse of power and obstruction of Congress for his corrupt scheme to extort Ukrainian government into manufacturing during his political opponent.",NEGATIVE
78,Trump,"All the evidence that the 17 witnesses sworn under oath tell the truth brought us pointed to the guilt of one man, President Donald Trump for committing an abuse of power by trying to drag a foreign government into our election in order to sabotage his opponent, and then blockading a whole series of witnesses and refusing to turn over a single subpoenaed documents.",NEGATIVE
79,Trump,"Then you get Trump coming along, you know, throwing the rulebook out, doing away with that imperative as it related to civilian casualties, and drastically expanding the number of strikes that are taken in theaters that most Americans don`t even know that we`re active in.",NEGATIVE
80,Trump, Donald Trump gets his trial date.,NEUTRAL
81,Trump,So one thing that is definitively established whether or not this is the situation now is that it is the case that Donald Trump thought that one way an American president could turn things around politically would be to start a war with Iran.,NEGATIVE
82,Trump,"So I don`t think if you surveyed heads of state around the world, or if you surveyed really politically conscious Americans and asked what the justification that President Trump is putting forward, I don`t think anybody would give you the same answer.",NEGATIVE
83,Iran,Impeachment of a president and a military confrontation with Iran all happening at once in a kind of head-spinning fashion.,NEUTRAL
84,Iran," There was a story -- I mean, part of what made this week so dangerous is obviously the U.S. has no formal diplomatic relationship with Iran.",NEUTRAL
85,Iran,"I mean, 2020 kicked off with America and Iran appearing to be moving -- and especially for about an hour two one night this week towards a cataclysmic disastrous war, in which the U.S. was going to militarily engaged with a confrontation with a nation of 80 million people, the 14th most powerful military in the world.",NEGATIVE
86,Iran, I believe that he will attack Iran sometime prior to the election because he thinks that`s the only way he can get elected.,NEGATIVE
87,Iran,Our president will start a war with Iran because he has absolutely no ability to negotiate.,NEGATIVE
88,Trump,"In other words, President Trump broke the law.",NEGATIVE
89,Trump,"It began not even 24 hours after Lev Parnas an indicted associate of the President`s personal lawyer, a guy whose own lawyer represented him to Congress as part of the President`s own legal team, that guy, spoke at length to Rachel Maddow about how President Trump directed every part of this corrupt scheme for which he has now been impeached.",NEGATIVE
90,Trump, The impeachment trial of Donald Trump begins.,NEUTRAL
91,Trump, Michael Cohen pulled back the curtain on Trump world in 2018.,NEGATIVE
92,Trump,"But rather than investing a Trump political rival as the president tried so hard for them to do, they are rather investigating whether President Trump`s own flunkies illegally surveilled former U.S. Ambassador to Ukraine Marie Yovanovitch.",NEGATIVE
93,Trump,"Yes, the Trump Hotel.",NEUTRAL
94,Parnas,"The reason why it`s just now being revealed, senator, is because one of Parnas`s lawyers had suggested the evidence might be subject to executive privilege, because he`s on the president`s legal team, and it wasn`t until earlier this month the federal judge authorized that Parnas begin turning over documents and other information to the House intelligence committee.",NEUTRAL
95,Parnas,"The reverberations of Lev Parnas` disclosures, his interview and all the documents we got the Speaker echoing around the world.",NEUTRAL
96,Parnas," All of the texts from Lev Parnas and his -- you know, it`s very hard for me to figure out what he`s doing precisely.",NEUTRAL
97,Parnas,But here`s what Parnas has to say about Barr.,NEUTRAL
98,Parnas,"And the answer to that was laid out by Lev himself who told Rachel Maddow how easy it is to get close to the president`s inner circle, "" just show up at the Trump International Hotel in Washington, D.C. That`s how Parnas himself met Robert Hyde.(BEGIN VIDEO CLIP)",NEUTRAL
99,Parnas, And Parnas is part -- remember when -- I was confused about how was he a client of Rudy Giuliani and working for Giuliani.,NEUTRAL
100,Parnas,And I`m curious how Parnas`s descriptions squared with what you`ve been reporting over the last two years.,NEUTRAL
101,Parnas,Last night Lev Parnas told Rachel Maddow that Pence knew pretty much everything.(BEGIN VIDEO CLIP),NEUTRAL
102,Parnas," Tonight, the implications of what Lev Parnas is claiming for the president.",NEUTRAL
103,Parnas,"It began not even 24 hours after Lev Parnas an indicted associate of the President`s personal lawyer, a guy whose own lawyer represented him to Congress as part of the President`s own legal team, that guy, spoke at length to Rachel Maddow about how President Trump directed every part of this corrupt scheme for which he has now been impeached.",NEGATIVE
104,Lev Parnas, As the Lev Parnas aftershocks reverberate.,NEUTRAL
105,Lev Parnas,Last night Lev Parnas told Rachel Maddow that Pence knew pretty much everything.(BEGIN VIDEO CLIP),NEUTRAL
106,Lev Parnas,"At the same time, over the days preceding, and yesterday we got hundreds and hundreds of pages of new evidence from Lev Parnas, notes, text, voicemails, all sorts of incriminating material turned over to the House Intelligence Committee.",NEUTRAL
107,Lev Parnas,"And Lev Parnas did that last night, telling us what an absolute cesspool of conflicts of interest, corruption and shady characters surround the president of the United States.",NEGATIVE
108,Lev Parnas," All of the texts from Lev Parnas and his -- you know, it`s very hard for me to figure out what he`s doing precisely.",NEUTRAL
109,Lev Parnas, Lev Parnas also told a story about a threatening message President Trump and Rudy Giuliani ordered him to give to a senior aid to the incoming Ukrainian President.(BEGIN VIDEO CLIP),NEGATIVE
110,Lev Parnas,"It began not even 24 hours after Lev Parnas an indicted associate of the President`s personal lawyer, a guy whose own lawyer represented him to Congress as part of the President`s own legal team, that guy, spoke at length to Rachel Maddow about how President Trump directed every part of this corrupt scheme for which he has now been impeached.",NEGATIVE
111,Lev Parnas,"""Of course, if you believe Lev Parnas, a guy who federal prosecutors allege was working to remove the U.S. Ambassador Ukraine through illegal campaign donations, heck, if you believe the testimony of the over a dozen witnesses under oath, President Trump did much more than make a perfect phone call.(BEGIN VIDEO CLIP)",NEGATIVE
112,Lev Parnas," Tonight, the implications of what Lev Parnas is claiming for the president.",NEUTRAL
113,Barr, It`s very hard to credit Barr with any sort of charitable interpretation of his actions at this point during his tenure.,NEGATIVE
114,Barr, Mr. Barr knew about that?,NEUTRAL
115,Barr,Barr is mentioned by the president.,NEUTRAL
116,Barr,"I mean, Barr was -- Attorney General Barr was basically on the team.",NEUTRAL
117,Barr, So the other -- the other person that Parnas talks about -- there`s a few other but I want to talk about Barr.,NEUTRAL
118,Barr, I would argue that William Barr has earned an impeachment investigation.,NEGATIVE
119,Barr,"So there are questions with Barr that go to, should he disqualify himself now from any criminal case that has any -- that touches at all?",NEGATIVE
120,Barr, And Barr is flying around the world.,NEUTRAL
121,Barr, Attorney General Barr was basically (INAUDIBLE),NEUTRAL
122,Barr, Mr. Barr have to have known everything.,NEUTRAL
123,Barr,Barr is mentioned in the whistleblower complaint.,NEUTRAL
124,Pence, So Vice President Mike Pence has his planned trip to the inauguration canceled after you are unable to get the Ukrainian government to commit to announcing investigations of Vice President Biden.,NEUTRAL
125,Pence,And what we know about Pence in his relationship to this administration is he is the adult in the room on foreign policy.,POSITIVE
126,Pence,It would have -- it would have to be -- the only way that Pence doesn`t know is if he made it his business not to know is the only plausible story for him not knowing.,NEGATIVE
127,Pence,"The question of Pence`s relationship to the withholding of aid, at least from what I`ve read, is less clear now.",NEUTRAL
128,Pence, Particularly Vice President Mike Pence.(END VIDEO CLIP),NEUTRAL
129,Pence,"And the big question, of course, is how much did Pence know?",NEUTRAL
130,Pence,"One thing about that, Pence has been at the center of the reporting about the scheme that got Trump impeached from the very beginning.",NEGATIVE
131,Ukraine,"Eventually, the Ukraine whistleblower complaint comes out, we start to hear, and there`s unity.",NEUTRAL
132,Ukraine,"But what we did not know, what we learned over the last month is this, that on the day of the phone call the infamous Zelensky phone call, the Office of Management budget, send an e-mail to the Pentagon that said, do not release the Ukraine money.",NEGATIVE
133,Ukraine,"But in terms of that characterization of corruption in Ukraine, like, do you feel like that is a fair characterization?",NEUTRAL
134,Ukraine,"I mean, I always feel a little weird talking about how corrupt Ukraine when like Donald Trump is our president.",NEGATIVE
135,Ukraine," Well, I think Parnas really makes that point for us, right, because he`s saying that it was so important for the Ukrainians to have this ceremony, this pomp, this sort of presentation of support of the world`s biggest superpower standing behind Ukraine.",POSITIVE
136,Ukraine,Because you`ve got to understand that Ukraine`s been in a war with Russia for the last four or five years at the point that Zelensky is elected.,NEUTRAL
137,Ukraine," One of the things that has become clearer and clearer is that rather than the U.S. trying to make Ukraine less corrupt, our president got in cahoots with more corrupt elements of Ukraine to make both the U.S. and Ukraine more corrupt.",NEGATIVE
138,Ukraine," And, you know, that`s some of the more vanilla stuff that he said in those text messages, because he was using a lot of swear words as well, which we can`t say on TV.But I think the thing for Lutsenko was that the Ambassador Yovanovitch, she was in line with longstanding U.S. policy trying to reform the justice system in Ukraine.",POSITIVE
139,Lev Parnas,One of the things we`ve learned this week is more about the just extremely shady cast of characters that Lev Parnas was doing business with and in contact with.,NEGATIVE
140,Lev Parnas,"Lev Parnas, who was negotiating the corrupt backwaters of Ukraine on the president`s behalf to make it even more corrupt, describes it this way.",NEGATIVE
141,Lev Parnas,"I want to play you something that Lev Parnas said about the Department of Justice and investigations, about why Republicans -- one of the reasons Republicans are scared of the president.",NEUTRAL
142,Lev Parnas,"And to be clear, you don`t have to take Lev Parnas` word for it.",NEGATIVE
143,Lev Parnas,"But as I mentioned earlier, we also got hundreds and hundreds of pages of incriminating documents that Lev Parnas gave to the House Intelligence Committee, text message, letters, pictures, handwritten notes on paper from the Ritz Carlton Vienna that were pretty direct.",NEGATIVE
144,Lev Parnas,Lev Parnas was actually exchanging text messages with the co-chair of the Republican National Committee.,NEUTRAL
145,Lev Parnas,No one will admit they know Lev Parnas and that Lev Parnas seems to have a photo with everybody.,NEGATIVE
146,Lev Parnas," That Nunes staffer he was just talking about, we just got new text tonight of Lev Parnas and Devin Nunes` staffer going back and forth trying to get dirt.",NEGATIVE
147,Lev Parnas,"Lev Parnas is, of course, the indicted associated of Rudy Giuliani, a guy who is working at the direction of Rudy Giuliani, who in turn was working at the direction of Donald Trump.",NEUTRAL
148,Trump,"The only reason -- if you take a look, you know very well, because you`ve been following, the difference between why Trump is so powerful now, he wasn`t as powerful in `16 and `17.",POSITIVE
149,Trump,"But I think more people at the senior levels, need to speak out and speak up against Mr. Trump because he is in fact, I think a disgrace to this country.",NEGATIVE
150,Trump,"Today, we learned Trump`s got one of O.J.`s lawyers on his team.",NEUTRAL
151,Trump,"So when I met with new president of Ukraine, Zolodymyr Zelensky, during the campaign before he was president, the question that everybody was asking him, was that -- you know, he was a new leader, inexperienced, potentially a new leader at that point, how was he going to face up to the diplomatic and military challenge that somebody who has been running his country for 20 years is putting him up against, Vladimir Putin, right?And then, what happened instead was that you have this ostensible ally, Donald Trump, he gives Zelensky his first serious diplomatic test by behind the scenes for months and months, unbeknownst to us reporters and just the general public, putting pressure to try to get him to announce this investigation into Joe Biden.",NEGATIVE
152,Trump,"Trump even told New York Magazine back in 2002 that Epstein was, and I quote him here, ""a lot of fun to be with.",NEUTRAL
153,Trump,And now Mr. Trump and others have gone after that whistle-blower with a vengeance.,NEGATIVE
154,Trump,Lev with Trump at Mar-a-Lago.,NEUTRAL
155,Trump,"In that case, Donald Trump is continuing to make clear exactly what kind of person he is.",NEUTRAL
156,Trump,"I knew that the Trump defense was going to rely in large part  on alternative facts, but I didn`t know they were also going to use alternative law.",NEGATIVE
157,Donald Trump,"And then suddenly you have this president, Donald Trump, and everything changes.",NEUTRAL
158,Donald Trump,"And remember, the House voted to impeach Donald Trump for abuse of power and obstruction of Congress way back on December",NEGATIVE
159,Donald Trump,"And I think with the changes here, compared to the last administration that we had here in the United States, is that now we sort of see the Russification -- Ukrainification -- of the United States government under Donald Trump.",NEGATIVE
160,Donald Trump," As the Congresswoman and I were discussing, the trial Donald Trump starts in the Senate next week.",NEUTRAL
161,Donald Trump,"So when I met with new president of Ukraine, Zolodymyr Zelensky, during the campaign before he was president, the question that everybody was asking him, was that -- you know, he was a new leader, inexperienced, potentially a new leader at that point, how was he going to face up to the diplomatic and military challenge that somebody who has been running his country for 20 years is putting him up against, Vladimir Putin, right?And then, what happened instead was that you have this ostensible ally, Donald Trump, he gives Zelensky his first serious diplomatic test by behind the scenes for months and months, unbeknownst to us reporters and just the general public, putting pressure to try to get him to announce this investigation into Joe Biden.",NEGATIVE
162,Donald Trump,"In that case, Donald Trump is continuing to make clear exactly what kind of person he is.",NEGATIVE
163,Donald Trump,"And then, amid all of this, who does Donald Trump pick as his defense lawyers in his impeachment trial?",NEUTRAL
164,Senate,And the way we do that in the Senate is to have a real trial.,NEUTRAL
165,Senate,"And now it is going to be more pressure on the Senate to do the right thing to call these witnesses, and to have a fair and open trial.",NEUTRAL
166,Senate,This Senate may lose its control in 2020.,NEGATIVE
167,Senate,"If the evidence comes out, as I expect it to, even if these Senators do not live up to their oath, and perform in a way that takes account of the evidence, but basically go along with McConnell with a big whitewash, then, it seems to me we`re going to be in a situation where the Senate will have been on trial and will have been convicted.",NEGATIVE
168,Senate,"For just the third time in U.S. history, a Senate impeachment trial of the sitting president has begun.",NEUTRAL
169,Senate,And it will ensure that the Senate can consider his testimony immediately.,NEUTRAL
170,Senate,"Of course, Senate Majority Leader Mitch McConnell, who`s sort of the tactician who has been running this entire thing.",NEUTRAL
171,Senate,"During various investigations in the mid-1990s, the House and Senate heard from more than two dozen White House aides including the White House Counsel, the former chief of staff, and multiple senior advisors to President Clinton.",NEUTRAL
172,Senate,"That`s because the Senate, this great institution, has always taken its responsibility to administer a fair trial seriously.",POSITIVE
173,Senate,"But for the leader of the Senate, and others to back him up and stand up and say, no, we don`t even pretend to be fair or partial or look at evidence, that`s a low watermark.",NEGATIVE
174,Senate,Our broad powers of inquiry are at their strongest during an impeachment proceeding when the House and Senate exercise responsibilities expressly set forth in Article One of the Constitution.,NEUTRAL
175,Senate,"The Constitution, our democracy, the Senate, the President, and most importantly, the American people deserve a fair trial.",NEUTRAL
176,Senate,"The Senate has always taken its duty to obtain evidence, including witness testimony seriously.",POSITIVE
177,House,The House tried to get Mr. Mulvaney`s testimony.,NEUTRAL
178,House,There were 71 requests by the House for relevant evidence.,NEUTRAL
179,House,"As we`ve explained in detail today, despite considerable efforts by the House to obtain relevant documents and testimony, President Trump has directed the entire executive branch to execute a cover-up.",NEUTRAL
180,House,Our broad powers of inquiry are at their strongest during an impeachment proceeding when the House and Senate exercise responsibilities expressly set forth in Article One of the Constitution.,NEUTRAL
181,House,"In response, the White House produced zero documents in this Impeachment Inquiry.",NEGATIVE
182,House,"During various investigations in the mid-1990s, the House and Senate heard from more than two dozen White House aides including the White House Counsel, the former chief of staff, and multiple senior advisors to President Clinton.",NEUTRAL
183,House,The House Managers strongly support this amendment to subpoena witness testimony including with respect to Mick Mulvaney.,NEUTRAL
184,House,"As shown on the slide, as a result of President Trump`s obstruction, 12 key witnesses, including Mr. Mulvaney refused to appear for testimony and the House`s impeachment inquiry.",NEUTRAL
185,Democrats,Those documents could actually serve as a roadmap to potential other witnesses beyond the Mick Mulvaney and the John Bolton`s that we expect these Democrats to introduce additional subpoenas for later this evening.,NEUTRAL
186,Democrats,"And so, the Democrats have to take every opportunity that they have to present evidence.",NEUTRAL
187,Democrats,"But I think what`s interesting is that the Democrats started with the subpoenas for those documents from the State Department, from the White House, from OMB.",NEUTRAL
188,Democrats,"So I think the Democrats, the managers to audiences are those senators right in the room with them, Mitt Romney, Susan Collins, Lamar Alexander and others, and the viewers in Maine, the viewers in Utah, the viewers in Colorado, the voters that Cory Gardner has to face in Colorado.",NEUTRAL
189,Democrats,And so the Democrats are wisely using this every single opportunity to make their evidentiary case to these viewers.,POSITIVE
190,Democrats,"You can ask the question, why are Democrats introducing all of these subpoenas knowing that they`re going to fail on a party-line vote.",NEGATIVE
191,Democrats,"But I`m told by our team that is really canvassing the Hill speaking with members and their aides, that during this break, the Democrats are going to have a conversation -- they`re having a conversation about how many more amendments they plan to introduce.",NEUTRAL
192,Trump,It is important to take a step back and think about what President Trump is doing.,NEUTRAL
193,Trump,"And those documents could also be -- and we`re talking about potentially thousands of pages of documents about meetings between President Trump and key officials about the entire Ukrainian gambit, the entire Ukrainian pressure campaign.",NEUTRAL
194,Trump,"Equally troublesome, President Trump and his administration did not make any legitimate attempts to reach a reasonable accommodation with the House or compromise regarding any document requests or witness subpoenas.",NEGATIVE
195,Trump,"President Trump, by contrast, refuses to permit relevant witnesses from testifying to this very day.",NEGATIVE
196,Trump,But President Trump was determined to hide from the American people what they had to say.,NEGATIVE
197,Trump,President Trump`s complete and total obstruction makes Richard Nixon look like a choir boy.,NEGATIVE
198,Trump,"As we`ve explained in detail today, despite considerable efforts by the House to obtain relevant documents and testimony, President Trump has directed the entire executive branch to execute a cover-up.",NEGATIVE
199,Trump,"Apparently, President Trump thinks that he can do what no other president before him has attempted to do in such a brazen fashion, float above the law and hide the truth from the American people.",NEGATIVE
200,Trump,Because President Donald John Trump wasn`t interested in cooperating.,NEGATIVE
201,Trump,"As shown on the slide, as a result of President Trump`s obstruction, 12 key witnesses, including Mr. Mulvaney refused to appear for testimony and the House`s impeachment inquiry.",NEGATIVE
202,Trump,"As we come up on 8of what is the first full day in the third impeachment trial of a president in the Republic`s history, this the impeachment trial of Donald J. Trump.",NEUTRAL
203,the White House,"And so if you`re the White House, you got to think that any further documents would only hurt your case.",NEGATIVE
204,the White House,"In response, the White House produced zero documents in this Impeachment Inquiry.",NEGATIVE
205,U.S.,"But fundamentally the injury is to the U.S., right, the injury is to the American electoral citizen.",NEGATIVE
206,Ukraine,"I think Putin on the phone said, you know, Ukraine messed in the election.",NEGATIVE
207,Ukraine,"Otherwise, you would be telling Ukraine and the world that it`s OK for the President to use our Oval Office and this country`s prestige and power for himself instead of for the American people.",NEUTRAL
208,Ukraine,"Even Ukraine, a struggling new country knew this was wrong.",NEGATIVE
209,Ukraine,"Ukraine made this clear, if the U.S. was asking them for investigations, especially investigations that made them uncomfortable, they should be done officially and put in  writing.",NEUTRAL
210,Ukraine,And they made clear that Ukraine would not get the official U.S. government support that it`s so desperately needed.,NEGATIVE
211,Ukraine,"And it wasn`t just Ambassador Taylor, Deputy Assistant Secretary George Kent too testify that Ukraine was ""very uncomfortable.""",NEGATIVE
212,Ukraine,"By withholding a White House meeting, President Trump use official power to corruptly pressure Ukraine.",NEGATIVE
213,Ukraine,"And how does this president leverage Ukraine with military security aid, that`s astonishing?",NEUTRAL
214,Zelensky,"So keeping that in mind, it is extremely telling what President Zelensky and his age were saying behind closed doors.",NEUTRAL
215,Zelensky,President Zelensky was reforming Ukraine in a hurry.,POSITIVE
216,Zelensky,President Zelensky tried different ways to resist the pressure of becoming a pawn in U.S. politics.,NEUTRAL
