,Transcript,Topic,Sentiment,Program,avg_sentiment
27,86,Soleimani,"[-1, 0, -1, 0, -1, 0, 0, -1, -1, 0, 0, 0]",Fox News Network LIVE EVENT,-0.4166666666666667
28,86,Congress,"[-1, -1, 0, -1, -1, 0, 0, -1]",Fox News Network LIVE EVENT,-0.625
29,86,Americans,"[-1, -1, 1, -1, -1]",Fox News Network LIVE EVENT,-0.6
30,90,California,"[-1, -1, -1, 1, 1, -1, -1, -1, 0, -1, 0, 0, 0, 1, -1, -1, -1, -1, 1, 1]",Fox News Network TUCKER CARLSON TONIGHT,-0.3
31,90,America,"[0, 0, 0, -1, -1, -1, -1, 0, -1, 1, 0, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.42857142857142855
32,90,Democrats,"[0, 0, -1, 0, -1, 0, 0, 0, -1, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.36363636363636365
33,90,Hillary,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.21428571428571427
34,90,Democratic,"[-1, -1, 0, -1, 0, -1, -1, 0, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.5454545454545454
35,91,America,"[0, -1, -1, -1, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.6428571428571429
36,91,Mexico,"[-1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.8333333333333334
37,91,Iran,"[0, -1, -1, 0, -1, 0, -1, 0, -1, 0, -1, 0, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.5714285714285714
38,91,U.S.,"[0, 0, 0, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.16666666666666666
39,105,AEI,"[0, 0, -1, 0, -1, 0, -1, -1, 1, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.5
40,105,Washington,"[-1, 0, 0, 0, -1, -1, -1, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.6
41,105,Americans,"[-1, 0, -1, 0, -1, -1, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.7777777777777778
42,105,Pharma,"[-1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.75
43,105,OxyContin,"[-1, -1, 0, 1, 0, -1, -1, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.4444444444444444
44,115,Churchill,"[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, -1, -1]",Fox News Network LIFE LIBERTY LEVIN,-0.26666666666666666
45,115,the Second World War,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",Fox News Network LIFE LIBERTY LEVIN,-0.07142857142857142
46,115,Hitler,"[-1, 0, -1, -1, -1, -1, -1, -1]",Fox News Network LIFE LIBERTY LEVIN,-0.875
47,115,British,"[0, 0, -1, 0, -1, -1, 1, 0, 0, -1, 1, -1]",Fox News Network LIFE LIBERTY LEVIN,-0.25
48,115,Winston Churchill,"[0, 0, 0, 1, 0, 0, 0, 0, -1]",Fox News Network LIFE LIBERTY LEVIN,0.0
49,141,Iran,"[-1, -1, 0, -1, -1, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, -1, 0, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.45
50,141,U.S.,"[-1, 1, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, -1, 1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.3157894736842105
51,141,Soleimani,"[0, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.5789473684210527
52,141,Trump,"[0, -1, 1, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.17647058823529413
53,146,Iran,"[0, 0, -1, -1, -1, 0, 0, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, 0, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.4
54,146,Neil,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.0
55,146,Senate,"[-1, 0, 0, 1, 0, -1, -1, 0, -1, 0, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.3333333333333333
56,146,American,"[-1, -1, 0, -1, -1, -1, -1, 1, -1, 0, -1, -1, 0, -1, 0, -1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.6111111111111112
57,146,Congress,"[0, 0, 1, 0, 0, -1, 0, 0, -1, 1, 1, 1, 1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.13333333333333333
58,168,Iran,"[-1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.75
59,168,Neil,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.05555555555555555
60,168,American,"[0, 0, 0, -1, 0, 0, -1, 0, -1, -1, -1, 1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.38461538461538464
61,168,Iranians,"[0, 0, 0, -1, 0, -1, 0, -1, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.5
62,168,Senate,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.08333333333333333
63,243,Chinese,"[1, 0, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.5
64,251,John Bolton,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.1111111111111111
65,251,Bolton,"[0, 0, 0, 0, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.3
66,251,China,"[-1, 0, 0, -1, -1, -1, -1, -1, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.6363636363636364
67,251,Bernie Sanders,"[1, 1, 0, 1, -1, -1, -1, -1, -1, 0, 1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.08333333333333333
68,270,Trump,"[-1, 0, 0, 1, -1, 0, -1, 0, -1, 0, 1, -1, 1, 0, 0, -1, -1, -1]",Fox News Network WATTERS WORLD,-0.2777777777777778
69,270,CNN,"[-1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1]",Fox News Network WATTERS WORLD,-0.8181818181818182
70,270,Bernie,"[-1, -1, 0, 0, 1, 0, -1, -1, 0, 0, -1, -1, 0, 0, -1, 0, 0, -1, 0]",Fox News Network WATTERS WORLD,-0.3684210526315789
71,270,Jesse,"[0, 0, 0, 0, 1]",Fox News Network WATTERS WORLD,0.2
72,270,MSNBC,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1]",Fox News Network WATTERS WORLD,-0.9
73,284,New Year's,"[0, 0, 0, 0, 0]",Fox News Network THE FIVE,0.0
74,284,Juan,"[-1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",Fox News Network THE FIVE,-0.15
75,284,Dana,"[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",Fox News Network THE FIVE,-0.1
76,284,Trump,"[-1, 0, 0, 0, -1, 0, 1, 0, -1, 0, 0, -1, -1, 0, 0]",Fox News Network THE FIVE,-0.26666666666666666
77,284,Jesse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0]",Fox News Network THE FIVE,0.0
78,332,CNN,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.7647058823529411
79,332,Bernie,"[-1, 1, -1, -1, 0, 0, -1, -1, 0, -1, 0, -1, 0, -1, 0, -1, 0, -1, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.5
80,332,Elizabeth Warren,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,0.0
81,332,Tucker,"[1, 0, -1, 0, 0, 0, 0, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.1
82,332,Bernie Sanders,"[1, 0, -1, -1, 0, 1, -1, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.2
83,338,Iran,"[-1, 0, -1, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.3888888888888889
84,338,Trump,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.08333333333333333
85,338,Democrats,"[0, 0, 0, 1, -1, 0, 0, -1, 0, -1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.16666666666666666
86,338,Iraq,"[0, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, 1, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.4444444444444444
87,338,House,"[0, 0, 0, 0, -1, 0, 0, -1, -1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.2727272727272727
88,344,Neil,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.0625
89,344,Iran,"[-1, 0, -1, 0, -1, -1, 0, 0, 0, 0, -1, -1, 0, -1, 0, -1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.5
90,344,Senate,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.1
91,344,Soleimani,"[-1, -1, -1, 0, -1, -1, -1, 0, -1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.7272727272727273
92,344,U.S.,"[0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.15384615384615385
93,401,Joe Biden,"[-1, 0, -1, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, 0, 1, 1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.2777777777777778
94,401,Democrats,"[0, -1, 0, -1, -1, -1, 0, -1, 0, -1, 0, 1, 1, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.4375
95,401,Bernie,"[0, -1, 0, 0, 0, 0, -1, 0, 1, -1, -1, 0, 0, -1, 0, -1, 0, -1, 1]",Fox News Network TUCKER CARLSON TONIGHT,-0.2631578947368421
96,401,Bernie Sanders,"[0, 0, 0, -1, 0, 0, 0, 0, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.36363636363636365
97,401,American,"[-1, 0, -1, -1, 1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.6666666666666666
98,407,Trump,"[-1, -1, 0, 0, 1, -1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.5789473684210527
99,407,Adam Schiff,"[-1, -1, 0, 0, -1, 0, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.631578947368421
100,407,Senate,"[-1, -1, 0, 0, 0, -1, -1, -1, -1, 0, 0, 1, -1]",Fox News Network INGRAHAM ANGLE,-0.46153846153846156
101,407,Democrats,"[-1, -1, -1, 0, 0, -1, 0, -1, -1, 0, 0, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.6153846153846154
102,407,Ukrainian,"[0, 0, 0, -1, -1, -1, -1, 0, -1, 0, 0]",Fox News Network INGRAHAM ANGLE,-0.45454545454545453
103,441,Trump,"[-1, -1, -1, -1, 0, 0, -1, 1, -1, 0, -1, 0, 0, -1, -1]",Fox News Network THE FIVE,-0.5333333333333333
104,441,Democrats,"[0, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, -1, -1, -1, 0, 0, -1, 0]",Fox News Network THE FIVE,-0.3888888888888889
105,441,Adam Schiff,"[-1, -1, -1, 0, -1, -1, -1, -1, -1, -1]",Fox News Network THE FIVE,-0.9
106,441,Juan,"[0, -1, 0, -1, 0, 0, 0, -1, 0]",Fox News Network THE FIVE,-0.3333333333333333
107,441,House,"[-1, -1, 0, -1, 0, 0, -1, -1, 0]",Fox News Network THE FIVE,-0.5555555555555556
108,442,Trump,"[-1, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, 1, -1, 0, 0, -1]",Fox News Network THE FIVE,-0.4117647058823529
109,442,Democrats,"[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1]",Fox News Network THE FIVE,-0.85
110,442,Republicans,"[0, -1, -1, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, 0, -1, -1]",Fox News Network THE FIVE,-0.5
111,442,Senate,"[0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0]",Fox News Network THE FIVE,-0.35714285714285715
112,442,Adam Schiff,"[0, -1, -1, -1, 1, 0, 1, 0, -1, 0, 0, 0, -1, 1]",Fox News Network THE FIVE,-0.14285714285714285
113,459,Bernie Sanders,"[-1, 0, 0, 1, -1, 0, 0, 0, -1, -1, 1, 1, 0, 0, 1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.11764705882352941
114,459,Trump,"[-1, -1, 1, 0, -1, -1, -1, 0, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.36363636363636365
115,459,Elizabeth Warren,"[0, 0, 1, 0, 0, -1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,0.0
116,459,Tucker,"[1, 0, 1, 1, 1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,0.5714285714285714
117,459,Hollywood,"[-1, -1, -1, 0, -1, 0, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.75
118,461,Senate,"[0, -1, 0, 0, -1, 0, -1, 0, -1, -1, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.38461538461538464
119,461,Joe Biden,"[-1, 0, 0, -1, 1, -1, -1, -1, 0, 0, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.3076923076923077
120,461,American,"[-1, 0, 0, 0, -1, -1, -1, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.6
121,461,Adam Schiff,"[0, 0, -1, 1, 1, 1, 0, 0, 0, -1, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,0.0
122,461,Trump,"[-1, -1, -1, 0, 0, 0, -1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.4444444444444444
123,470,Democrats,"[0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.2631578947368421
124,470,Republicans,"[-1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.17647058823529413
125,470,Senate,"[0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.0
126,470,Trump,"[0, 0, 0, -1, -1, 0, 0, 0, 0, 1, -1, -1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.2857142857142857
127,470,House,"[0, 0, -1, 0, 0, 1, 0, -1, -1, -1, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.18181818181818182
128,473,Bolton,"[-1, 0, 0, 0, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0]",Fox News Network INGRAHAM ANGLE,-0.2
129,473,Trump,"[-1, 1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, -1, 1, -1]",Fox News Network INGRAHAM ANGLE,-0.06666666666666667
130,473,Senate,"[0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,-0.14285714285714285
131,473,Democrats,"[0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.4444444444444444
132,473,Laura,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,0.0
133,475,Trump,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-1.0
134,475,House,"[-1, 0, -1, -1, -1, 0, 1, -1, -1, -1, 0, -1, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.4666666666666667
135,475,Congress,"[-1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.6842105263157895
136,475,the White House,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.7368421052631579
137,475,Ukraine,"[-1, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.75
138,490,Senate,"[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.10526315789473684
139,490,Trump,"[1, 0, -1, 0, -1, 0, 1, -1, -1, 0, -1, 0, 0, 0, 0, -1, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.3333333333333333
140,490,House,"[0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.18181818181818182
141,490,Democrats,"[-1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.45454545454545453
142,490,Zelensky,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.07692307692307693
143,491,Trump,"[-1, 0, 0, 0, 0, -1, -1, -1, 0, 0]",Fox News Network THE GREG GUTFELD SHOW,-0.4
144,491,Democrats,"[-1, 0, -1, -1, -1, -1, 0]",Fox News Network THE GREG GUTFELD SHOW,-0.7142857142857143
145,491,Steve,"[0, 0, 1, 0, 0, 0, 0]",Fox News Network THE GREG GUTFELD SHOW,0.14285714285714285
146,491,Adam Schiff,"[1, 0, 0, 0, -1, 0]",Fox News Network THE GREG GUTFELD SHOW,0.0
147,491,Michael,"[1, 0, 0, 0, -1, 0, 0]",Fox News Network THE GREG GUTFELD SHOW,0.0
148,496,Senate,"[0, 0, 0, -1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.21428571428571427
149,496,Adam Schiff,"[0, 0, -1, 0, 1, 1, 1, 0, -1, -1, -1, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.15384615384615385
150,496,Tucker,"[0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,0.0
151,496,Bloomberg,"[0, -1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, 0, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.5625
152,496,Vindman,"[0, 0, 0, 0, 0, -1, -1, 0, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.36363636363636365
153,497,Trump,"[-1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.8
154,497,Ukraine,"[1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, 0, 1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.45
155,497,Zelensky,"[-1, 0, -1, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.15789473684210525
156,497,Giuliani,"[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.65
157,497,U.S.,"[0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.5555555555555556
158,501,CNN,"[0, -1, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.5
159,501,Elizabeth Warren,"[0, -1, 1, 0, 1, -1, 1, 0, 0, 1, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.05
160,501,Bernie,"[-1, -1, 0, 0, -1, 0, 0, -1, -1, 1, -1, 0, 0, 0, -1, 0, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.47368421052631576
161,501,Tucker,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,0.0
162,501,Trace Gallagher,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",Fox News Network TUCKER CARLSON TONIGHT,0.2
163,505,Senate,"[-1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1]",Fox News Network FOX NEWS SUNDAY,-0.2857142857142857
164,505,House,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1]",Fox News Network FOX NEWS SUNDAY,-0.13333333333333333
165,505,Trump,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0]",Fox News Network FOX NEWS SUNDAY,-0.1111111111111111
166,505,Democrats,"[-1, 0, 0, 0, 0, -1, 0, -1, 0, -1, -1, 0, 0, 0, -1, -1, -1, 0]",Fox News Network FOX NEWS SUNDAY,-0.4444444444444444
167,505,Republican,"[0, 0, 0, -1, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 1, 1]",Fox News Network FOX NEWS SUNDAY,-0.10526315789473684
