,subject,sentence,output
50,Mueller," I will certainly recommend we bring Bob Mueller in to testify, that we take it to court, if necessary.(END VIDEO CLIP)",NEUTRAL
51,Mueller,"Since the Mueller report was handed down, millions of liberals across America have been suffering from a profound sense of loss.",NEUTRAL
52,Mueller,But the fact is Mueller did not find any evidence of much of the ballyhooed Trump collusion with Russia.,NEUTRAL
53,Democrats,But this dynamic of the public and what they feel about the country as the Democrats are trying to tear at Trump is quite something to see.,NEGATIVE
54,Democrats,But the good news is the American people can end the Democrats reign of terror and the hateful cycle they have trapped us all in.,NEGATIVE
55,Democrats,"Newt, the Democrats about-face on executor power and how it should be used is quite something to behold tonight.",NEGATIVE
56,Democrats,"But that is an amazing point, right that the Democrats refuse to even work for the White House unless it was total submission to whatever Schiff and Nadler wanted.",NEGATIVE
57,Democrats,This is how the Democrats always play the game.,NEUTRAL
58,Democrats," In the ""Angle"" tonight, we explained that this is how the Democrats role.",NEUTRAL
59,Democrats,I think even Democrats are fed up.,NEGATIVE
60,Democrats,Your response to the Democrats slash-and-burn strategy going all the way,NEGATIVE
61,Democrats,"And the Democrats mortgaged their future in his hands, and it turned out to be an ungodly disaster.",NEGATIVE
62,Democrats," And three years later, undeterred by the Mueller flameout, the Democrats are at it again.",NEGATIVE
63,Democrats,"In calling Trump and his forthcoming acquittal illegitimate, the Democrats are kettles calling the pots black.",NEGATIVE
64,Trump,But Trump is in pretty good shape right now.,POSITIVE
65,Trump,They're so fascinated by Trump that he erases anything they might have said in the past.,NEUTRAL
66,Trump,Whatever Trump does they oppose.,NEGATIVE
67,Trump,"What is happening is all through this entire impeachment process, Mitch McConnell, the leader of the Senate, and Donald Trump have collaborated, I think now, to 187 judges who have been approved, almost one out of every four federal judges now is Donald Trump judge.",NEUTRAL
68,Trump," Look, I have to tell you Donald Trump wants to solve problems, and if there is anybody in that chambers willing to stand up for what's right after hearing all of the testimony all of the facts, and realizing beyond any doubt that the President does not deserve impeachment or removal, I think the President wants to work with anybody who wants to move the country forward and solve problems.",POSITIVE
69,Trump,But this dynamic of the public and what they feel about the country as the Democrats are trying to tear at Trump is quite something to see.,NEGATIVE
70,Senate,And think about this there are seven Democrats sitting right now in that Senate Chamber who were there in the Clinton Impeachment.,NEUTRAL
71,Senate," So at the time, he said that the constitutional role of the Senate to try the impeachment did not require them to hear additional evidence or to call live witnesses.",NEUTRAL
72,Senate, A new case the Senate declined to consider a motion for summary disposition is beyond the Senate authority or for been by the constitution.,NEUTRAL
73,Senate,"The point, and the point I think implicitly that we made clear, is that the United States Senate is not an oversight committee.",NEUTRAL
74,Senate,"That's exactly what they are doing, trying to force the Senate to do their job because what they wanted was a mark on this President's resume, more so than a than they wanted a conviction.",NEGATIVE
75,Adam Schiff,"And I think out of that matrix, they decided we better outsource this to Adam Schiff.",NEUTRAL
76,Adam Schiff,"Congressmen, the House Impeachment team just looked really desperate today, as you and I were sitting here, just preparing to go on the air,  Adam Schiff was making up another conversation.",NEGATIVE
77,Adam Schiff," If anything is illegitimate, it is what Adam Schiff, Nadler, and the whole crew did in the House of Representatives, courtesy of a whistleblower no one can question and an IG whose transcript no one can read.",NEGATIVE
78,Adam Schiff," By the way, Adam Schiff earlier made up a conversation as a hypothetical that the President had with Vladimir Putin.",NEGATIVE
79,Adam Schiff,"They would be Adam Schiff, the whistle-blower, Lieutenant Colonel Vindman, may be the I.G., and all of their stories will not jive.",NEGATIVE
80,Adam Schiff,"I think somehow, people have got to decide that Adam Schiff is a compulsive, uncontrollable liar, should be dealt with that way.",NEGATIVE
81,Adam Schiff,"Adam Schiff, Nancy Pelosi?",NEUTRAL
82,Adam Schiff, The difference between the Steele dossier and Adam Schiff is the Steele dossier was more believable.,NEGATIVE
83,Adam Schiff,"This is Adam Schiff, after he made up that transcript that got him in so much trouble, he said it was a joke.",NEGATIVE
84,Adam Schiff,"Literally, Adam Schiff just made up a conversation that the President with Putin, unbelievable.",NEGATIVE
85,House,"And actually the product of the process they created in the House, which really contaminated this whole thing from the start.",NEGATIVE
86,House, The House managers are coming before you and claiming that he is not doing things in the best interest of the American people.,NEGATIVE
87,House,"The House Intelligence Committee hired one of those individuals, Sean Misko, and the report further describes relationships between Misko, Lieutenant Colonel Vindman, and an individual alleged as the whistleblower.",NEUTRAL
88,House,", you don't need the witnesses you don't need to have it when it comes before the Senate, and so here we are with the hypocrisy argument again from my House Democrat colleagues.",NEGATIVE
89,House,"But the reason this argument was so important about the witnesses, the House, in our system for an impeachment, is the investigative body.",NEUTRAL
90,House, An illegitimate and criminal regime in the American White House.,NEGATIVE
91,House,"Look, I thought what we've done and what we've presented to the Senate, in representing the President with integrity, and also trying to be helpful to the Senate in making an important judgment, was to point out the fact that if there is anything illegitimate here it's the fact that the House of Representatives proceeded on a partisan basis, meaning that there was not bipartisan support for what they have done.",NEGATIVE
92,Trump," Trump given his due, $46 million in the fourth quarter.",POSITIVE
93,Trump, President Trump really has no policy at all.,NEGATIVE
94,Trump,"This comes as some other contenders including President Trump, Trump it.",NEUTRAL
95,Trump,"And today, the Trump administration is doubling down on blaming Iran for orchestrating the assault.",NEUTRAL
96,Trump,"Big response to POTUS record, Dems impeach and Trump gets stronger.""",POSITIVE
97,Trump,"President Trump, obviously not against anyone, but raising $46 million in the fourth quarter.",NEUTRAL
98,U.S.," As war drums beat, the U.S. and Iran appear to be preparing for the possibility of a direct military confrontation.",NEUTRAL
99,U.S.,"I think the U.S. economy is in very, very good shape.",POSITIVE
100,U.S.," A contingent of U.S. and Canadian firefighters arrived in Australia on Thursday, offering expertise and advice.",POSITIVE
101,U.S.,The U.S. has a new top diplomat in Ukraine.,NEUTRAL
102,U.S.,"The U.S. government itself also has reservations about Google's health care ambitions, with the Justice Department now taking a closer look at Google's $2.1 billion acquisition of fitness tracker Fitbit.",NEGATIVE
103,U.S.," After analyzing 25,000 mammograms in the U.K. and 3,000 in the U.S., Google's A.I. system helped identify 10 percent more missed breast cancer cases in the U.S., and reduced false positives by close to six percent.",POSITIVE
104,Iran,"And today, the Trump administration is doubling down on blaming Iran for orchestrating the assault.",NEGATIVE
105,Iran,"But in the case of the United States and Iran, seemingly teetering on the brink of a proxy war in Iraq, Defense Secretary Mark Esper's warning today seem to carry particular heft and an almost haunting certainty.",NEGATIVE
106,Iran,"But, overnight, Iran supreme leader, the Ayatollah Khomeini reiterated his willingness to hold talks with the United States.",NEUTRAL
107,Iran,"We will act in response to actions by Iran or its proxies, and we will act to preempt any attacks on our forces, our personnel by Iran or its proxies.",NEGATIVE
108,Iran, We need to stand up to Iran and we need them to behave like a normal country.,NEGATIVE
109,Iran," As war drums beat, the U.S. and Iran appear to be preparing for the possibility of a direct military confrontation.",NEUTRAL
110,Iran,"Thursday, a top Iranian Revolutionary Guard general said his country isn't afraid of conflict and could break America into several pieces.",NEGATIVE
111,Iran,"Kevin Corke with the president in West Palm Beach, Florida, with what the administration is saying and doing about the situation in Iraq and the provocation from Iran.",NEUTRAL
112,Iran,The Trump administration is warning Iran against any further action by its proxies inside Iraq or really throughout the Middle East.,NEGATIVE
113,Iran,Though the message that Iran left remains.,NEUTRAL
114,Bret,Bret.,NEUTRAL
115,Bret," Good evening, Bret.",NEUTRAL
116,Bret,Bret.,NEUTRAL
117,Bret,Bret?,NEUTRAL
118,Bret," Good evening, Bret.",NEUTRAL
119,Bret,I'm Bret Baier.,NEUTRAL
120,Bret,"Bret, I hope you are more with it than I am.",NEUTRAL
121,Bret," Bret, good evening.",NEUTRAL
122,Bret,Bret?,NEUTRAL
123,Bret,Bret?,NEUTRAL
124,Bret,Bret?,NEUTRAL
125,Google,"Late last year, reports surfaced that Google was accessing millions of Americans' records without the patients' and the doctors' direct knowledge.",NEGATIVE
126,Google,"However, in the U.K. the results were more negligible, a sign that Google's A.I. system still needs improvement.(BEGIN VIDEO CLIP)",NEGATIVE
127,Google,Google says its artificial intelligence can help.(BEGIN VIDEO CLIP),POSITIVE
128,Google," After analyzing 25,000 mammograms in the U.K. and 3,000 in the U.S., Google's A.I. system helped identify 10 percent more missed breast cancer cases in the U.S., and reduced false positives by close to six percent.",POSITIVE
129,Google,"The U.S. government itself also has reservations about Google's health care ambitions, with the Justice Department now taking a closer look at Google's $2.1 billion acquisition of fitness tracker Fitbit.",NEGATIVE
130,Google," As Google pushes further into healthcare development, concerns grow over data privacy.",NEGATIVE
131,Google,"Code-named Project Nightingale, it was revealed that Google was working Ascension Health, the country's second largest health care system.",NEUTRAL
132,Google,"Early detection of breast cancer is just one disease that Google is working on better diagnosing, accurately identifying lung cancer and preventing serious eye disease are two other initiatives that Google is hoping A.I. can also improve upon in the future.",POSITIVE
133,Trump,"And yet, here we are today questioning whether Trump was the one who was appeasing the Iranians?",NEGATIVE
134,Trump,"So Trump is no longer just a racist, sexist, or bot-nist, he is an assassinist.(BEGIN VIDEO CLIP)",NEGATIVE
135,Trump,Donald Trump had that power to brand the candidates.,NEUTRAL
136,Trump, You were one of the Democrats saying President Trump always questions our intelligence agencies.(CROSSTALK),NEGATIVE
137,Trump,"And what I'm seeing now in this world, as a result of Trump's actions, more and more chaos, more and more instability.(END VIDEO CLIP)",NEGATIVE
138,Trump, Does he have the branding power that Donald Trump had?,NEUTRAL
139,Trump,But you can't blame Trump.,POSITIVE
140,Trump,"Donald Trump, who did he brand -- Jeb Bush.",NEUTRAL
141,Juan, Juan.,NEUTRAL
142,Juan,"All right, now it's you, Juan.",NEUTRAL
143,Juan,"You know what this reminds me of -- and Juan is more closer in age than any of these people, when strip clubs, these stores are now -- like stores that sell inexpensive food to low-income families are now seen as like a pollutant in society.",NEUTRAL
144,Juan," So Juan, one thing that the government doesn't want to ever talk about is the fact that the obesity crisis in America is their fault by subsidizing sugar, by doing the food pyramid --",NEUTRAL
145,Juan, Juan,NEUTRAL
146,Juan,But it's really about the rift between old-school liberals like Juan and the social justice creep that is trying to silence people like Juan.(CROSSTALK),NEUTRAL
147,Juan,Juan Williams is going to quote Tucker Carlson.,NEUTRAL
148,Juan, Juan goes to plays all the time.,NEUTRAL
149,Juan," Juan, you believe in a free market, you believe in capitalism --",NEUTRAL
150,Juan," But Juan, back to the point, though.",NEUTRAL
151,Juan,"He's tall, Juan.",NEUTRAL
152,Sandra," Sandra, should --",NEUTRAL
153,Sandra," Why do we need this, Sandra?",NEUTRAL
154,Sandra," Sandra, what you got?",NEUTRAL
155,Democrats, You were one of the Democrats saying President Trump always questions our intelligence agencies.(CROSSTALK),NEUTRAL
156,Democrats,Why can't Democrats admit that Soleimani's death makes us safer?,NEGATIVE
157,Democrats,"I think at the end of the piece in the Wall Street Journal, he asks, don't Democrats risk looking weak in the face of evil like this and not being able to make an admission like that?",NEGATIVE
158,Democrats,And I think that the Democrats are actually stepping on their message with this because a lot of people need this stuff and they can't afford to go to the other places to get --,NEGATIVE
159,Democrats,And you can start to see now that there is warfare among the Democrats.,NEGATIVE
160,Soleimani,"Soleimani had sanctions taken off of him as a result of the Iran deal, as a result of Barack Obama's negotiation on that deal.",NEUTRAL
161,Soleimani, You issued a statement calling Soleimani a murderer.,NEGATIVE
162,Soleimani,", Reuters has an amazing piece out about how Soleimani was Iraq in September and October sitting across the U.S. embassy in Baghdad, and talking about the way that they were going to use new Iranian militias that have not yet been detected by the United States to go after American troops both in Iraq and all over the region.",NEGATIVE
163,Soleimani,Why can't Democrats admit that Soleimani's death makes us safer?,NEUTRAL
164,Soleimani,"But I don't have a real but here, because I don't think Soleimani was a bad guy, right?",POSITIVE
165,Soleimani, Soleimani was responsible for the deaths of hundreds of American coalition service members.,NEGATIVE
166,Soleimani,But even many of Soleimani's enemies admitted he was a military genius.,POSITIVE
167,Soleimani, No one should be shedding any tears for Qasem Soleimani.,NEGATIVE
168,Soleimani,"If killing Soleimani makes the world worse than that, I'd like to know how letting him live would've made him better, anyone?",NEGATIVE
169,Trump, You have been listening to President Trump.,NEUTRAL
170,Trump, But Trump.,NEUTRAL
171,Trump,"Coming up, 2020 Democrats lashing out at President Trump for killing Iran's top commander.",NEGATIVE
172,Trump, And some Democrats even accusing President Trump of using the air strike to distract from impeachment.,NEGATIVE
173,Trump,"So President Trump, for example, when he was campaigning, he's like, we're out, we're done.",NEUTRAL
174,Trump,"And President Trump said if you are going to try to take our embassies, if you are going to try to threaten our people, we've already declared you a terrorist organization which we did intentionally in April of 2019, which no other administration had done, you pop your head up one more time and your days are limited.",NEUTRAL
175,Trump,We need to know what the Trump administration plans are for and what next.,NEUTRAL
176,Trump,President Trump is speaking about the killing of Iran's top general at an event in Florida.,NEUTRAL
177,Trump," How President Trump made the decision, a serious decision, which was necessary.",POSITIVE
178,Iran,And I think for four years we've seen U.S. presidents struggle with essentially the question of whether Iran is a country or a cause.,NEUTRAL
179,Iran, President Trump declaring his reign of terror is over after ordering and airstrikes to take out Iran's top general.,NEGATIVE
180,Iran,"But those who follow the nefarious nature of Iran understand how evil this man is and how our nation's war fighters have been targeted by him and his forces not just in Iraq, but around the globe, hundreds killed and maimed because of him, but it's not just the particular and personal nature of the guys in our hospitals here in this country who are recovering from the wounds, specifically from him, but it's the strategic way in which he has tried to advance the evil motives of the regime in Tehran.",NEGATIVE
181,Iran," Speaking of our allies, so today, Secretary Pompeyo made specific references to many different countries and allies of ours that he said supported this, reaction by us and kind of acknowledging that it was Iran's escalation that required and necessitated our defensive action.",NEGATIVE
182,Iran, No. Iran is going to come limping back to the negotiating table.,NEGATIVE
183,Iran,"So, when you look Iran needs Iraq to get to Syria to get to Lebanon to get to Israel, Iraq has always been important to Iran, the ability to meddle there and try put a Shia-Iranian regime in charge has been central to their goal.",NEGATIVE
184,Iran,"Because ISIS was allowed to emerge, we ended up partnering with Iran and Soleimani under the Obama administration to try to push him back, which only empowered the Iranian militias more, so they were able to take over Baghdad.",NEGATIVE
185,Pete," Pete, typically, when there is something like this, the country comes together, you put politics aside.",NEUTRAL
186,Pete,"The extreme positions of somebody like Bernie Sanders, or Tulsi Gabbert, or frankly, kind of the -- kind of the weasely one of Mayor Pete does not inspire confidence.",NEGATIVE
187,Pete,"But Pete, let me start with you.",NEUTRAL
188,Pete,"Pete Hegseth is with us, Lawrence Jones, Marie Harf, and Emily Compagno.",NEUTRAL
189,Pete,"And so a statement like Mayor Pete's which I do think didn't say a whole lot wasn't -- I think Pete actually, having served in Afghanistan could have made a much stronger statement for why he believes this is putting us on the course to conflict, and he missed an opportunity here, I think.",NEGATIVE
190,Pete," Pete, as a supporter of President Trump, which of the Democrats are you most worried about being the nominee?",NEUTRAL
191,Iraq," If we end up having to leave Iraq because of this, I think there will be many questions about what we actually accomplished during the time we were there, and all of that blood and sweat and American men, Pete, that you talked about who sacrifice there.",NEGATIVE
192,Iraq,Iraq is going to do something.,NEUTRAL
193,Iraq,"So, when you look Iran needs Iraq to get to Syria to get to Lebanon to get to Israel, Iraq has always been important to Iran, the ability to meddle there and try put a Shia-Iranian regime in charge has been central to their goal.",NEUTRAL
194,Iraq," And, Marie, in the last few weeks we've seen these protests happening in Lebanon and also in Iraq by citizens who are frustrated and they are really protesting Iran's influence because they want to be able to govern themselves.",NEUTRAL
195,Iraq,And losing a foothold in Iraq after so many years and so much American money and blood and treasure would be a really big problem.,NEGATIVE
196,Iraq,"As it pertains to Iraq and the future, I mean, we killed an Iranian general in Iraq trying to destabilize the country.",NEGATIVE
197,Americans,He was not going to stop targeting Americans.,NEGATIVE
198,Americans,"Somebody who targeted Americans constantly, had many, many plans to kill Americans.",NEGATIVE
199,Americans,"And for three years now he's been very, very careful, which I think should show that this was an imminent danger to some Americans.",NEGATIVE
200,Congress,I would argue that Nancy Pelosi is obstructing Congress right now because she's not sending the articles over.,NEGATIVE
201,Congress,What would Congress be saying?,NEUTRAL
202,Senate,"The Senate -- sorry, ""The Senate cannot be complicit in the president's cover-up.",NEGATIVE
203,Stephanie," In the meantime, White House Press Secretary Stephanie Grisham is our headliner and joins us now from Washington.",NEUTRAL
204,Stephanie," Stephanie, what do you say to American men and women serving overseas as to what they should brace for?",NEUTRAL
205,Stephanie,"And, Stephanie, welcome back to our program here.",POSITIVE
206,Stephanie," Stephanie, I apologize.",NEUTRAL
207,Soleimani,Soleimani was a terrible actor.,NEGATIVE
208,Soleimani,And was the capture of Soleimani a better solution?,NEUTRAL
209,Soleimani,But the reporting I've seen says that President George W. Bush and Vice President Dick Chaney also passed on the chance to take out Soleimani.,NEUTRAL
210,Soleimani,I believe Soleimani was a terrorist who was a bad person.,NEGATIVE
211,Soleimani, Soleimani was clearly a bad guy who had American blood on his hands.,NEGATIVE
212,Soleimani,"And, frankly, if the president came to Congress and said, look, Soleimani is responsible for American deaths.",NEGATIVE
213,Soleimani,"If you had a situation, as Mike Pompeo just described, if you had a situation that Ambassador O'Brien described earlier today, the national security advisor, where you allowed Soleimani to plan and plot?",NEUTRAL
214,Soleimani,But I don't think that killing Soleimani was defending against an attack that was taking place that justifies not coming to Congress.,NEGATIVE
215,Congress,"And that's what we're arguing, that the president has to come to Congress before getting us into further military conflict.",NEUTRAL
216,Congress,If the Congress -- if the --,NEUTRAL
217,Congress,And that is -- those of us who believe in article one of the Constitution believe it's Congress' decision on whether to declare war or not.,NEUTRAL
218,Congress,But I don't think that killing Soleimani was defending against an attack that was taking place that justifies not coming to Congress.,NEGATIVE
219,Iran,"And the reason they all passed is they did not want to escalate a war with Iran, and I believe that President Obama had a strategy of the JCPOA that would prevent Iran from becoming nuclear.",POSITIVE
220,Iran,I mean the concern is what if Iran retaliates against American troops or American interests.,NEGATIVE
221,Iran,But does anyone think that Iran isn't going to replace one bad guy with another bad guy?,NEGATIVE
222,Iran,I want to make it clear that the president should not have funding for offensive strikes against Iran or Iranian officials without having authorization from Congress.,NEUTRAL
223,Iran,Do you think there was any missed opportunities in the past that would have prevented Iran from getting to the point that it did?,NEUTRAL
224,Iran,But the president should not have taken an offensive action against Iran without coming to Congress and seeking Congress' authorization.,NEGATIVE
225,Iran,I want to turn from Iran to impeachment.,NEUTRAL
226,Iran,I want to authorize that we can go after any Iranian official responsible for American deaths.,NEGATIVE
227,Americans,I think it will increase the attacks on Americans.,NEGATIVE
228,Americans,He's killed hundreds of Americans.,NEGATIVE
229,Americans,And now you're looking into deaths of many more Americans in Iraq.,NEGATIVE
230,California,"California has 12 percent of the world's population, but it has a quarter of this country's homeless.",NEGATIVE
231,California,"Adjusted for the cost of living, California has the highest poverty rate of any state in America.",NEGATIVE
232,California,"If it weren't for the constant stream of immigrants from abroad, California's population would be falling and fast.",NEUTRAL
233,California,"Every year, the number of people leaving California for other places exceeds the number of people moving in by more than a hundred thousand.",NEGATIVE
234,California,California is part of this country that is something the rest of the country looks up to.(END VIDEO CLIP),POSITIVE
235,America,Half of America's corn crop is treated with it.,NEUTRAL
236,America,"What will America look like 50 years from now?There are a lot of possible answers to those questions, but leading Democrats appear to have settled on their position.",NEUTRAL
237,America," A great thing, making America a little bit lighter is really a virtuous thing to do in my opinion.",POSITIVE
238,America,"The articles ""The Review"" publishes influence America's law professors, its political thinkers, our highest courts.",NEUTRAL
239,Democrats,"But a lot of the country still is going to have a problem with that, and some Democrats, I think, are savvy enough to understand that's an issue.",NEUTRAL
240,Democrats,"But for the first time in 25 years, Democrats control both chambers of the legislature and have already introduced a number of gun control bills.",POSITIVE
241,Democrats,"What will America look like 50 years from now?There are a lot of possible answers to those questions, but leading Democrats appear to have settled on their position.",NEUTRAL
242,Democrats,"I don't know why nationally, Democrats aren't ashamed of it.",NEGATIVE
243,Democrats,How can this be a model that Democrats point to?,NEUTRAL
244,Democrats,"Here's some recent headlines they've run, ""Democrats grasping at straws to impeach Trump now regret banning straws.""",NEGATIVE
245,Democrats, The Democrats are going all out to get rid of the Second Amendment in the Commonwealth of Virginia.,NEGATIVE
246,Hillary, Or the 27 previous bio pics about Hillary Clinton.,NEUTRAL
247,Hillary,"Michelle Obama would make more sense than Hillary Clinton, but Hillary Clinton, I think wants it a whole lot more than Michelle Obama ever would.",NEGATIVE
248,Hillary,"You've got to get in the arena, Hillary says staring meaningfully off into the distance.",NEUTRAL
249,Hillary,"I mean, there's nothing about Hillary that you don't know.",NEUTRAL
250,Hillary,"And with Hillary, I guess, there's no such thing as overexposure because we need to see more of what Hillary Clinton's life was all about.",POSITIVE
251,Hillary,Hillary Clinton has a Hulu documentary about her life coming out in a month and a half.,NEUTRAL
252,Hillary,"They really, you know, Hillary was the person they were hoping they're going to ride her coattails to whatever White House job and they're still very much in place, all of those consultants.",NEUTRAL
253,Hillary,But you wonder if the average Democratic voter is really going to want to hire Hillary Clinton to run the Democratic Party again?,NEUTRAL
254,Hillary,But you have to look at this and think there are a few reasons why Hillary Clinton cannot be entirely discounted.,NEUTRAL
255,Hillary,"For some reason, we don't know why because Hillary thinks we do.",NEUTRAL
256,Hillary,"You can't really get them to explain why, but they'll tell you that the only way to set that right, there is this narrative, you can see it's implicit in all of this would be for Hillary to come back as a unity candidate in a brokered convention and be the person to set right what was made wrong in 2016 and effectively be the true counter revolution against Trumpism.",POSITIVE
257,America,"And that and along with other things that I've believed over the years about America and the direction that America should take whether we were talking -- you just had a segment on about strong borders -- how we need to have strong borders, because of what is going on in Mexico, et cetera.",NEUTRAL
258,America,They told you that America's very national security was at stake.(BEGIN VIDEO CLIP),NEUTRAL
259,America," Yes, it doesn't seem to have made America stronger, which is my concern.",NEGATIVE
260,America,"Now, just a month ago, not one in a hundred Americans was thinking about Iran.",NEUTRAL
261,Mexico,"Because, you know, they want to argue that certain parts of Mexico are safe and other parts aren't.",NEUTRAL
262,Mexico,"Mexico is a big, important country and it seems to be kind of falling apart.",NEGATIVE
263,Mexico,"But what I would -- what I have said to many U.S. officials who've used that line on me, is what I learned from Mexican investigators and U.S. law enforcement, that more than 90 percent of crimes in Mexico are never investigated and for murder, that's 98 percent of murders.",NEGATIVE
264,Mexico,"I mean, we spend a lot of time talking about Mexico, you were just there.",NEUTRAL
