,Program,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10
40,MSNBC 11TH HOUR WITH BRIAN WILLIAMS,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
41,MSNBC ALL IN with CHRIS HAYES,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
42,MSNBC ANDREA MITCHELL REPORTS,1,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
43,MSNBC HARDBALL,1,2.0,1.0,1.0,,,,,,,
44,MSNBC MSNBC LIVE,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
45,MSNBC MSNBC SPECIAL,1,2.0,,1.0,,,,1.0,1.0,0.0,
46,MSNBC MTP DAILY,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
47,MSNBC POLITICS NATION,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
48,MSNBC THE BEAT WITH ARI MELBER,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
49,MSNBC THE LAST WORD WITH LAWRENCE O`DONNELL,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
50,MSNBC THE RACHEL MADDOW SHOW,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
